title,url,duration
Home Automation using Raspberry Pi,https://www.udemy.com/course-dashboard-redirect/?course_id=793184,1 hour
iPhone Photography | Take Professional Photos On Your iPhone,https://www.udemy.com/course-dashboard-redirect/?course_id=1392122,1.5 hours
Cinematography Course: Shoot Expert Video on Any Camera,https://www.udemy.com/course-dashboard-redirect/?course_id=1488956,1.5 hours
AWS IoT: Developing and Deploying an Internet of Things,https://www.udemy.com/course-dashboard-redirect/?course_id=3569185,1.5 hours
Real-time vehicle tracking system using ESP32 2024,https://www.udemy.com/course-dashboard-redirect/?course_id=3532426,1.5 hours
How To Make Money With Play-To-Earn Games (Crypto NFT Games),https://www.udemy.com/course-dashboard-redirect/?course_id=4509320,2 hours
VideoScribe Desktop Fundamentals: Creating Animated Videos,https://www.udemy.com/course-dashboard-redirect/?course_id=2943300,2 hours
Build your own GPS tracking system-Raspberry Pi Zero W 2024,https://www.udemy.com/course-dashboard-redirect/?course_id=1437336,2.5 hours
Exploring Alexa Voice Services and Alexa Gadgets,https://www.udemy.com/course-dashboard-redirect/?course_id=2650096,3 hours
Cuda Basics,https://www.udemy.com/course-dashboard-redirect/?course_id=3388612,3 hours
Internet of Things (IoT) - The Mega Course,https://www.udemy.com/course-dashboard-redirect/?course_id=1316068,3.5 hours
Building Alexa Skills for Home Automation with Raspberry Pi,https://www.udemy.com/course-dashboard-redirect/?course_id=1824628,4 hours
Recommendation system Real World Projects using Python,https://www.udemy.com/course-dashboard-redirect/?course_id=4450468,4.5 hours
"Writing Revenue: Write Well, Get Published, & Earn Money",https://www.udemy.com/course-dashboard-redirect/?course_id=1294092,4.5 hours
Agile Fundamentals: Including Scrum & Kanban,https://www.udemy.com/course-dashboard-redirect/?course_id=2013892,4.5 hours
Big Data Analyst -using Sqoop and Advance Hive (CCA159),https://www.udemy.com/course-dashboard-redirect/?course_id=2276337,5 hours
Home Automation with Raspberry Pi and AWS - IoT - 2019,https://www.udemy.com/course-dashboard-redirect/?course_id=2283748,5 hours
"GitLab CI: Pipelines, CI/CD and DevOps for Beginners",https://www.udemy.com/course-dashboard-redirect/?course_id=2309602,5.5 hours
Google Cloud Machine Learning Engineer Certification Prep,https://www.udemy.com/course-dashboard-redirect/?course_id=4878666,5.5 hours
Android Material UI Design Masterclass with Adobe Xd,https://www.udemy.com/course-dashboard-redirect/?course_id=3440158,6.5 hours
Kubernetes for the Absolute Beginners - Hands-on,https://www.udemy.com/course-dashboard-redirect/?course_id=1602900,6.5 hours
[NEW] Amazon EC2 Masterclass (Auto Scaling & Load Balancer),https://www.udemy.com/course-dashboard-redirect/?course_id=1527740,6.5 hours
[NEW] Amazon EKS Starter: Docker on AWS EKS with Kubernetes,https://www.udemy.com/course-dashboard-redirect/?course_id=1782082,6.5 hours
AWS CloudFormation Master Class v2 [2024],https://www.udemy.com/course-dashboard-redirect/?course_id=1362052,7 hours
Taming Big Data with Apache Spark and Python - Hands On!,https://www.udemy.com/course-dashboard-redirect/?course_id=622414,7 hours
Google Maps SDK for Android with Kotlin | Masterclass,https://www.udemy.com/course-dashboard-redirect/?course_id=3719220,7.5 hours
